Area,Age,Sex,Year at 30 June,Value,Flags
"Otara-Papatoetoe local board area","35-39 Years","Female","2008",2930,
"Otara-Papatoetoe local board area","35-39 Years","Female","2009",2880,
"Otara-Papatoetoe local board area","35-39 Years","Female","2010",2800,
"Otara-Papatoetoe local board area","35-39 Years","Female","2011",2730,
"Otara-Papatoetoe local board area","35-39 Years","Female","2012",2720,
"Manurewa local board area","35-39 Years","Female","2007",3260,
"Manurewa local board area","35-39 Years","Female","2008",3260,
"Manurewa local board area","35-39 Years","Female","2009",3160,
"Manurewa local board area","35-39 Years","Female","2010",3080,
"Manurewa local board area","35-39 Years","Female","2011",3040,
"Manurewa local board area","35-39 Years","Female","2012",3000,
"Papakura local board area","35-39 Years","Female","2007",1670,
"Papakura local board area","35-39 Years","Female","2008",1700,
"Papakura local board area","35-39 Years","Female","2009",1690,
"Papakura local board area","35-39 Years","Female","2010",1660,
"Papakura local board area","35-39 Years","Female","2011",1620,
"Papakura local board area","35-39 Years","Female","2012",1630,
"Franklin local board area","35-39 Years","Female","2007",2740,
"Franklin local board area","35-39 Years","Female","2008",2730,
"Franklin local board area","35-39 Years","Female","2009",2670,
"Franklin local board area","35-39 Years","Female","2010",2580,
"Franklin local board area","35-39 Years","Female","2011",2460,
"Franklin local board area","35-39 Years","Female","2012",2360,
"Rodney local board area","40-44 Years","Female","2007",2350,
"Rodney local board area","40-44 Years","Female","2008",2320,
"Rodney local board area","40-44 Years","Female","2009",2380,
"Rodney local board area","40-44 Years","Female","2010",2390,
"Rodney local board area","40-44 Years","Female","2011",2450,
"Rodney local board area","40-44 Years","Female","2012",2440,
"Hibiscus and Bays local board area","40-44 Years","Female","2007",3680,
"Hibiscus and Bays local board area","40-44 Years","Female","2008",3680,
"Hibiscus and Bays local board area","40-44 Years","Female","2009",3740,
"Hibiscus and Bays local board area","40-44 Years","Female","2010",3750,
"Hibiscus and Bays local board area","40-44 Years","Female","2011",3870,
"Hibiscus and Bays local board area","40-44 Years","Female","2012",3960,
"Upper Harbour local board area","40-44 Years","Female","2007",2180,
"Upper Harbour local board area","40-44 Years","Female","2008",2230,
"Upper Harbour local board area","40-44 Years","Female","2009",2280,
"Upper Harbour local board area","40-44 Years","Female","2010",2290,
"Upper Harbour local board area","40-44 Years","Female","2011",2360,
"Upper Harbour local board area","40-44 Years","Female","2012",2420,
"Kaipatiki local board area","40-44 Years","Female","2007",3370,
"Kaipatiki local board area","40-44 Years","Female","2008",3370,
"Kaipatiki local board area","40-44 Years","Female","2009",3410,
"Kaipatiki local board area","40-44 Years","Female","2010",3410,
"Kaipatiki local board area","40-44 Years","Female","2011",3450,
"Kaipatiki local board area","40-44 Years","Female","2012",3520,
"Devonport-Takapuna local board area","40-44 Years","Female","2007",2430,
"Devonport-Takapuna local board area","40-44 Years","Female","2008",2380,
"Devonport-Takapuna local board area","40-44 Years","Female","2009",2310,
"Devonport-Takapuna local board area","40-44 Years","Female","2010",2310,
"Devonport-Takapuna local board area","40-44 Years","Female","2011",2320,
"Devonport-Takapuna local board area","40-44 Years","Female","2012",2360,
"Henderson-Massey local board area","40-44 Years","Female","2007",4180,
"Henderson-Massey local board area","40-44 Years","Female","2008",4160,
"Henderson-Massey local board area","40-44 Years","Female","2009",4220,
"Henderson-Massey local board area","40-44 Years","Female","2010",4260,
"Henderson-Massey local board area","40-44 Years","Female","2011",4310,
"Henderson-Massey local board area","40-44 Years","Female","2012",4320,
"Waitakere Ranges local board area","40-44 Years","Female","2007",2170,
"Waitakere Ranges local board area","40-44 Years","Female","2008",2130,
"Waitakere Ranges local board area","40-44 Years","Female","2009",2100,
"Waitakere Ranges local board area","40-44 Years","Female","2010",2140,
"Waitakere Ranges local board area","40-44 Years","Female","2011",2190,
"Waitakere Ranges local board area","40-44 Years","Female","2012",2220,
"Aotea/Great Barrier local board area","40-44 Years","Female","2007",20,
"Aotea/Great Barrier local board area","40-44 Years","Female","2008",25,
"Aotea/Great Barrier local board area","40-44 Years","Female","2009",30,
"Aotea/Great Barrier local board area","40-44 Years","Female","2010",35,
"Aotea/Great Barrier local board area","40-44 Years","Female","2011",35,
"Aotea/Great Barrier local board area","40-44 Years","Female","2012",45,
"Waiheke local board area","40-44 Years","Female","2007",370,
"Waiheke local board area","40-44 Years","Female","2008",370,
"Waiheke local board area","40-44 Years","Female","2009",370,
"Waiheke local board area","40-44 Years","Female","2010",360,
"Waiheke local board area","40-44 Years","Female","2011",360,
"Waiheke local board area","40-44 Years","Female","2012",370,
"Waitemata local board area","40-44 Years","Female","2007",2260,
"Waitemata local board area","40-44 Years","Female","2008",2320,
"Waitemata local board area","40-44 Years","Female","2009",2370,
"Waitemata local board area","40-44 Years","Female","2010",2410,
"Waitemata local board area","40-44 Years","Female","2011",2470,
"Waitemata local board area","40-44 Years","Female","2012",2600,
"Whau local board area","40-44 Years","Female","2007",3030,
"Whau local board area","40-44 Years","Female","2008",3010,
"Whau local board area","40-44 Years","Female","2009",2930,
"Whau local board area","40-44 Years","Female","2010",2890,
"Whau local board area","40-44 Years","Female","2011",2840,
"Whau local board area","40-44 Years","Female","2012",2870,
"Albert-Eden local board area","40-44 Years","Female","2007",4330,
"Albert-Eden local board area","40-44 Years","Female","2008",4270,
"Albert-Eden local board area","40-44 Years","Female","2009",4250,
"Albert-Eden local board area","40-44 Years","Female","2010",4250,
"Albert-Eden local board area","40-44 Years","Female","2011",4310,
"Albert-Eden local board area","40-44 Years","Female","2012",4260,
"Puketapapa local board area","40-44 Years","Female","2007",2210,
"Puketapapa local board area","40-44 Years","Female","2008",2090,
"Puketapapa local board area","40-44 Years","Female","2009",2030,
"Puketapapa local board area","40-44 Years","Female","2010",2010,
"Puketapapa local board area","40-44 Years","Female","2011",1960,
"Puketapapa local board area","40-44 Years","Female","2012",2000,
"Orakei local board area","40-44 Years","Female","2007",3290,
"Orakei local board area","40-44 Years","Female","2008",3340,
"Orakei local board area","40-44 Years","Female","2009",3370,
"Orakei local board area","40-44 Years","Female","2010",3390,
"Orakei local board area","40-44 Years","Female","2011",3470,
"Orakei local board area","40-44 Years","Female","2012",3560,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2007",2590,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2008",2610,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2009",2640,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2010",2670,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2011",2770,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2012",2800,
"Howick local board area","40-44 Years","Female","2007",5510,
"Howick local board area","40-44 Years","Female","2008",5450,
"Howick local board area","40-44 Years","Female","2009",5470,
"Howick local board area","40-44 Years","Female","2010",5440,
"Howick local board area","40-44 Years","Female","2011",5540,
"Howick local board area","40-44 Years","Female","2012",5690,
"Mangere-Otahuhu local board area","40-44 Years","Female","2007",2440,
"Mangere-Otahuhu local board area","40-44 Years","Female","2008",2470,
"Mangere-Otahuhu local board area","40-44 Years","Female","2009",2510,
"Mangere-Otahuhu local board area","40-44 Years","Female","2010",2550,
"Mangere-Otahuhu local board area","40-44 Years","Female","2011",2570,
"Mangere-Otahuhu local board area","40-44 Years","Female","2012",2580,
"Otara-Papatoetoe local board area","40-44 Years","Female","2007",2720,
"Otara-Papatoetoe local board area","40-44 Years","Female","2008",2680,
"Otara-Papatoetoe local board area","40-44 Years","Female","2009",2720,
"Otara-Papatoetoe local board area","40-44 Years","Female","2010",2690,
"Otara-Papatoetoe local board area","40-44 Years","Female","2011",2680,
"Otara-Papatoetoe local board area","40-44 Years","Female","2012",2690,
"Manurewa local board area","40-44 Years","Female","2007",3040,
"Manurewa local board area","40-44 Years","Female","2008",3040,
"Manurewa local board area","40-44 Years","Female","2009",3120,
"Manurewa local board area","40-44 Years","Female","2010",3150,
"Manurewa local board area","40-44 Years","Female","2011",3140,
"Manurewa local board area","40-44 Years","Female","2012",3060,
"Papakura local board area","40-44 Years","Female","2007",1650,
"Papakura local board area","40-44 Years","Female","2008",1640,
"Papakura local board area","40-44 Years","Female","2009",1670,
"Papakura local board area","40-44 Years","Female","2010",1660,
"Papakura local board area","40-44 Years","Female","2011",1670,
"Papakura local board area","40-44 Years","Female","2012",1690,
"Franklin local board area","40-44 Years","Female","2007",2720,
"Franklin local board area","40-44 Years","Female","2008",2750,
"Franklin local board area","40-44 Years","Female","2009",2760,
"Franklin local board area","40-44 Years","Female","2010",2770,
"Franklin local board area","40-44 Years","Female","2011",2840,
"Franklin local board area","40-44 Years","Female","2012",2900,
"Rodney local board area","15-19 Years","Female","2013",1860,
"Rodney local board area","15-19 Years","Female","2014",1870,
"Rodney local board area","15-19 Years","Female","2015",1920,
"Rodney local board area","15-19 Years","Female","2016",2020,
"Rodney local board area","15-19 Years","Female","2017",2050,
"Rodney local board area","15-19 Years","Female","2018",2060,
"Hibiscus and Bays local board area","15-19 Years","Female","2013",3350,
"Hibiscus and Bays local board area","15-19 Years","Female","2014",3290,
"Hibiscus and Bays local board area","15-19 Years","Female","2015",3340,
"Hibiscus and Bays local board area","15-19 Years","Female","2016",3410,
"Hibiscus and Bays local board area","15-19 Years","Female","2017",3480,
"Hibiscus and Bays local board area","15-19 Years","Female","2018",3490,
"Upper Harbour local board area","15-19 Years","Female","2013",2110,
"Upper Harbour local board area","15-19 Years","Female","2014",2130,
"Upper Harbour local board area","15-19 Years","Female","2015",2140,
"Upper Harbour local board area","15-19 Years","Female","2016",2160,
"Upper Harbour local board area","15-19 Years","Female","2017",2150,
"Upper Harbour local board area","15-19 Years","Female","2018",2100,
"Kaipatiki local board area","15-19 Years","Female","2013",2740,
"Kaipatiki local board area","15-19 Years","Female","2014",2750,
"Kaipatiki local board area","15-19 Years","Female","2015",2820,
"Kaipatiki local board area","15-19 Years","Female","2016",2910,
"Kaipatiki local board area","15-19 Years","Female","2017",2770,
"Kaipatiki local board area","15-19 Years","Female","2018",2600,
"Devonport-Takapuna local board area","15-19 Years","Female","2013",2000,
"Devonport-Takapuna local board area","15-19 Years","Female","2014",1960,
"Devonport-Takapuna local board area","15-19 Years","Female","2015",1890,
"Devonport-Takapuna local board area","15-19 Years","Female","2016",1900,
